date,open,high,low,close,volume,Name
2017-06-28,18.88,19.0,18.76,18.97,3926550,WU
2017-06-29,18.98,19.09,18.74,18.86,4246552,WU
2017-06-30,18.87,19.14,18.84,19.05,4475598,WU
2017-07-03,19.12,19.255,19.11,19.15,1805510,WU
2017-07-05,19.18,19.22,18.6,18.69,5171643,WU
2017-07-06,18.6,18.63,18.42,18.47,3997145,WU
2017-07-07,18.56,18.73,18.5,18.65,3080656,WU
2017-07-10,18.63,18.835,18.59,18.7,2527186,WU
2017-07-11,18.69,18.84,18.6193,18.79,3097464,WU
2017-07-12,18.9,19.07,18.87,19.01,3144132,WU
2017-07-13,19.05,19.08,18.94,18.94,1740770,WU
2017-07-14,18.98,19.085,18.93,19.02,1020380,WU
2017-07-17,19.03,19.165,18.9401,19.0,1632698,WU
2017-07-18,18.99,18.99,18.86,18.96,1893639,WU
2017-07-19,18.97,19.2,18.91,19.18,2798862,WU
2017-07-20,19.19,19.24,19.055,19.08,1855314,WU
2017-07-21,19.09,19.17,19.03,19.09,1710176,WU
2017-07-24,19.08,19.19,18.88,19.16,1745810,WU
2017-07-25,19.25,19.61,19.25,19.48,3884744,WU
2017-07-26,19.47,19.49,19.335,19.48,2147758,WU
2017-07-27,19.57,19.77,19.5,19.7,3255376,WU
2017-07-28,19.66,19.74,19.58,19.65,1979924,WU
2017-07-31,19.68,19.81,19.65,19.75,4050236,WU
2017-08-01,20.07,20.4,19.59,19.72,8103189,WU
2017-08-02,19.71,19.74,19.38,19.49,3184974,WU
2017-08-03,19.44,19.66,19.39,19.58,4528451,WU
2017-08-04,20.07,20.4,19.59,19.72,8103189,WU
2017-08-07,19.7,19.73,19.35,19.38,4443305,WU
2017-08-08,19.33,19.56,19.29,19.3,2898664,WU
2017-08-09,19.21,19.28,19.16,19.28,2397024,WU
2017-08-10,19.19,19.26,18.91,18.91,3621828,WU
2017-08-11,18.86,19.07,18.85,18.9,3227668,WU
2017-08-14,19.05,19.24,19.045,19.14,2541550,WU
2017-08-15,19.14,19.28,19.08,19.22,3090921,WU
2017-08-16,19.25,19.515,19.24,19.38,3954630,WU
2017-08-17,19.36,19.485,18.9901,19.0,3817383,WU
2017-08-18,18.95,18.955,18.8,18.88,3946906,WU
2017-08-21,18.85,18.99,18.82,18.88,2157251,WU
2017-08-22,18.91,19.05,18.88,19.03,1991893,WU
2017-08-23,18.99,19.12,18.97,18.97,3018316,WU
2017-08-24,19.06,19.14,18.96,18.98,2451007,WU
2017-08-25,19.0,19.16,18.96,19.0,1687458,WU
2017-08-28,19.08,19.17,18.975,19.04,2604439,WU
2017-08-29,18.97,19.13,18.83,19.07,3047709,WU
2017-08-30,19.02,19.06,18.76,18.93,4001353,WU
2017-08-31,19.05,19.0767,18.875,18.92,4088154,WU
2017-09-01,18.99,19.01,18.755,18.79,3893668,WU
2017-09-05,18.72,18.78,18.5,18.68,4924213,WU
2017-09-06,18.74,18.8099,18.475,18.51,5363039,WU
2017-09-07,18.54,18.64,18.39,18.54,3800438,WU
2017-09-08,18.54,18.85,18.46,18.69,3118970,WU
2017-09-11,18.79,19.045,18.79,18.89,2714977,WU
2017-09-12,18.88,19.28,18.84,19.22,3432169,WU
2017-09-13,19.24,19.32,19.1,19.11,3393102,WU
2017-09-14,18.91,19.02,18.88,18.94,2769338,WU
2017-09-15,18.85,19.01,18.825,18.91,5598719,WU
2017-09-18,18.98,19.11,18.92,19.1,2430817,WU
2017-09-19,19.13,19.1934,19.01,19.05,2146383,WU
2017-09-20,19.05,19.12,18.88,18.95,2185705,WU
2017-09-21,18.92,19.015,18.9,18.91,2509712,WU
2017-09-22,18.91,19.005,18.88,18.99,2575435,WU
2017-09-25,18.94,19.085,18.865,19.03,2726859,WU
